Nome: MACEIO
Codigo Estacao: 82994
Latitude: -9.55138888
Longitude: -35.77083332
Altitude: 84.12
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);
2008-01-31;null;null;null;null;null;null;
2008-02-29;null;null;null;null;null;null;
2008-03-31;null;null;null;null;null;null;
2008-04-30;null;null;null;null;null;null;
2008-05-31;null;null;null;null;null;null;
2008-06-30;null;null;null;null;null;null;
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;
2008-09-30;2;5,8;null;null;null;null;
2008-10-31;13;64,3;29,786667;25,258621;21,603846;null;
2008-11-30;6;13,2;31,366667;26,216667;21,873333;null;
2008-12-31;5;20,7;31,71;26,645333;22,392857;null;
2009-01-31;6;35;31,645161;26,616667;21,836667;null;
2009-02-28;16;222,1;30,939286;26,293333;22,369565;null;
2009-03-31;4;205,8;31,96129;26,792258;22,107692;null;
2009-04-30;11;190,1;31,75;26,757333;22,716667;null;
2009-05-31;27;788,5;29,277419;25,33;21,562069;null;
2009-06-30;26;462,1;29,53;24,957333;21,8;null;
2009-07-31;27;273,3;29,451613;24,719333;21,182759;null;
2009-08-31;26;331,5;28,8;24,533333;22,103571;null;
2009-09-30;13;103,7;30,503333;24,986897;21,02069;null;
2009-10-31;7;14,9;32,487097;26,430323;21,212903;null;
2009-11-30;10;16,8;32,113333;26,707333;21,296552;null;
2009-12-31;9;30,5;31,382759;26,602759;21,610714;null;
2010-01-31;15;212,3;30,73871;26,310667;21,983333;null;
2010-02-28;17;175;31,628571;26,587857;22,760714;null;
2010-03-31;8;151,1;32,106452;27,123871;22,913333;null;
2010-04-30;17;172,5;31,282759;26,849286;23,07037;null;
2010-05-31;19;152,1;30,435484;26,183871;22,08;null;
2010-06-30;25;713;28,556667;24,757143;21,216;null;
2010-07-31;25;257;28,029032;24,125161;20,463333;null;
2010-08-31;21;188;27,4;23,802222;20,284615;null;
2010-09-30;18;146,8;27,883333;24,450345;20,833333;null;
2010-10-31;6;96,8;30,056667;25,826667;22,426923;null;
2010-11-30;7;5,7;31,3;26,603571;22,4;null;
2010-12-31;5;22,2;31,529032;27,107586;23,076923;null;
2011-01-31;21;142,1;30,609677;26,472903;23,455172;null;
2011-02-28;14;122,7;30,714286;26,386923;23,082609;null;
2011-03-31;6;17,5;32,103226;27,425806;23,382759;null;
2011-04-30;22;595,4;30,178571;26,026667;22,633333;null;
2011-05-31;27;397,3;28,82069;25,32;22,167857;null;
2011-06-30;21;235;28,133333;24,886;21,293333;null;
2011-07-31;27;366,2;27,064516;23,950323;20,286667;null;
2011-08-31;17;209,1;27,367742;24,474667;21,265517;null;
2011-09-30;19;111,1;27,577778;24,37;21,366667;null;
2011-10-31;13;49,8;29,183871;25,440645;21,642857;null;
2011-11-30;13;112,3;29,956667;26,096;22,434483;null;
2011-12-31;3;14,2;30,787097;26,489677;22,293548;null;
2012-01-31;12;189,9;29,964516;26,227742;22,512;null;
2012-02-29;10;67,8;29,824138;26,377241;22,753846;null;
2012-03-31;7;139,9;30,367742;26,368571;22,822727;null;
2012-04-30;10;56,6;30,142857;26,166923;22,234783;null;
2012-05-31;12;85,3;29,986667;26,088966;22,551724;null;
2012-06-30;23;272,8;28,2;24,949333;22,33;null;
2012-07-31;22;271,3;27,75;24,366897;21,968;null;
2012-08-31;21;154,4;27,564516;24,142143;21,242308;null;
2012-09-30;9;27;28,258621;25,055;20,980952;null;
2012-10-31;11;69,8;29,036667;25,601333;21,816667;null;
2012-11-30;null;0;31,286667;27,028966;22,717241;null;
2012-12-31;6;13,8;31,116129;26,93871;22,864286;null;
2013-01-31;8;63,6;31,348387;26,76129;22,723333;null;
